Pareto Front: (f1; f2)
7544.37 ; 23.05
7807.11 ; 20.55
26584.23 ; 2.62
7718.66 ; 21.54
28283.57 ; 2.34
8066.84 ; 19.73
27385.93 ; 2.35
26035.25 ; 2.66
7991.90 ; 19.80
7696.14 ; 21.96
25818.65 ; 2.71
28593.12 ; 2.21
28441.60 ; 2.24
28260.24 ; 2.34
25110.13 ; 3.17
7804.39 ; 20.84
7593.37 ; 22.10
29928.53 ; 2.14
8308.75 ; 18.92
7952.26 ; 20.10
26414.73 ; 2.64
25498.31 ; 2.78
24318.21 ; 3.67
8102.21 ; 19.67
8045.84 ; 19.77
25113.62 ; 2.92
26599.85 ; 2.50
26089.28 ; 2.64
9082.95 ; 18.64
28298.73 ; 2.28
28060.35 ; 2.34
7974.48 ; 20.02
28648.48 ; 2.19
24728.08 ; 3.51
27236.64 ; 2.36
27076.63 ; 2.42
7920.91 ; 20.44
24801.63 ; 3.51
7793.85 ; 21.37
