Pareto Front: (f1; f2)
31236.61 ; 2.58
7955.27 ; 23.15
14227.88 ; 11.08
18098.00 ; 9.06
28322.30 ; 2.63
30876.04 ; 2.58
11960.22 ; 11.39
15725.91 ; 9.20
8598.36 ; 19.56
21753.54 ; 6.32
24397.74 ; 4.68
15525.26 ; 9.62
8235.93 ; 20.67
7992.03 ; 21.53
7962.66 ; 22.52
26366.77 ; 3.63
23752.58 ; 5.17
14528.34 ; 10.09
22423.54 ; 5.72
23473.18 ; 5.48
14508.03 ; 10.17
21401.67 ; 6.84
22398.70 ; 5.84
8005.66 ; 20.87
27041.05 ; 3.41
20097.62 ; 7.53
25284.87 ; 4.67
27686.20 ; 2.93
28161.36 ; 2.88
11462.99 ; 11.90
20574.40 ; 7.19
8850.05 ; 17.62
27473.24 ; 3.22
11748.40 ; 11.82
20566.38 ; 7.33
18521.14 ; 8.82
11127.10 ; 12.51
9151.57 ; 16.32
11206.61 ; 12.19
10679.79 ; 12.61
10438.62 ; 12.94
9575.56 ; 14.61
19649.04 ; 7.59
11770.54 ; 11.39
10293.02 ; 13.33
15705.60 ; 9.29
9549.37 ; 15.04
27329.27 ; 3.40
18796.14 ; 8.38
19172.26 ; 7.93
23498.03 ; 5.36
25513.22 ; 4.61
18770.25 ; 8.63
9177.77 ; 15.89
9896.18 ; 13.85
9239.82 ; 15.64
8624.56 ; 19.13
8976.65 ; 17.24
8882.65 ; 17.31
8989.19 ; 16.90
19003.88 ; 8.08
18964.52 ; 8.24
19441.30 ; 7.89
9691.64 ; 14.36
18574.78 ; 8.72
8729.09 ; 18.55
9351.91 ; 15.46
11139.43 ; 12.28
9834.12 ; 14.10
9753.70 ; 14.11
8692.98 ; 18.79
9594.96 ; 14.45
10066.49 ; 13.79
9435.99 ; 15.20
9423.89 ; 15.41
8686.62 ; 18.88
10077.89 ; 13.67
19623.15 ; 7.85
10642.57 ; 12.74
10119.64 ; 13.50
9225.73 ; 15.87
8682.41 ; 19.12
9093.47 ; 16.75
19641.02 ; 7.74
9122.75 ; 16.55
25501.10 ; 4.66
9507.97 ; 15.14
8783.33 ; 18.46
9027.52 ; 16.79
10617.73 ; 12.86
10536.80 ; 12.89
10139.95 ; 13.42
9115.45 ; 16.56
25721.61 ; 4.11
8791.15 ; 18.30
8809.53 ; 18.03
20682.11 ; 7.02
