Pareto Front: (f1; f2)
7026.399; 18.495
23925.807; 2.358
25455.213; 2.106
7260.156; 17.757
24647.337; 2.115
23431.725; 2.394
7192.71; 17.82
23236.785; 2.439
25434.216; 2.106
22599.117; 2.853
7023.951; 18.756
26935.677; 1.926
7477.875; 17.028
7157.034; 18.09
23773.257; 2.376
22948.479; 2.502
7291.989; 17.703
7241.256; 17.793
22602.258; 2.628
23939.865; 2.25
23480.352; 2.376
25254.315; 2.106
7177.032; 18.018
25783.632; 1.971
24512.976; 2.124
24368.967; 2.178
7128.819; 18.396
7014.465; 19.233
12805.092; 9.972
16288.2; 8.154
10764.198; 10.251
14153.319; 8.28
19578.186; 5.688
13972.734; 8.658
13075.506; 9.081
13057.227; 9.153
19261.503; 6.156
20158.83; 5.256
18087.858; 6.777
10316.691; 10.71
18516.96; 6.471
10573.56; 10.638
18509.742; 6.597
16669.026; 7.938
10014.39; 11.259
8236.413; 14.688
10085.949; 10.971
9611.811; 11.349
8618.004; 13.149
17684.136; 6.831
10593.486; 10.251
14135.04; 8.361
16916.526; 7.542
16893.225; 7.767
8259.993; 14.301
8906.562; 12.465
8315.838; 14.076
8078.985; 15.516
8090.271; 15.21
8722.476; 12.924
16717.302; 7.848
7856.181; 16.695
10025.487; 11.052
8850.708; 12.69
8778.33; 12.699
7823.682; 16.911
8635.464; 13.005
9059.841; 12.411
7817.958; 16.992
9070.101; 12.303
17660.835; 7.065
9578.313; 11.466
9107.676; 12.15
8303.157; 14.283
8184.123; 15.075
17676.918; 6.966
8210.475; 14.895
7904.997; 16.614
8124.768; 15.111
9555.957; 11.574
9483.12; 11.601
8203.905; 14.904
7912.035; 16.47
7928.577; 16.227
18613.899; 6.318
