Algorithm,Type,Total_Solutions,Non_Dominated_Solutions,Universal_Pareto_Contribution,Seed_1200,Seed_1201,Seed_1202,Seed_1203,Seed_1204,Seed_1205,Seed_1206,Seed_1207,Seed_1208,Seed_1209,HV,GD,IGD
MOEA_AMOSA,Multi-Objective,270,30,0,21,25,23,22,32,44,21,25,33,24,0.330190,0.114879,0.222571
MOEA_NSGAII,Multi-Objective,234,15,3,10,23,15,36,24,21,24,16,37,28,0.406170,0.034362,0.135935
MOEA_SPEAII,Multi-Objective,338,34,26,29,29,27,35,36,49,21,39,30,43,0.519230,0.004385,0.058738
MOEA_eNSGAII,Multi-Objective,219,24,4,13,36,24,13,20,14,27,24,31,17,0.433336,0.035295,0.109064
SO_LJF_WORST,Single-Objective,10,2,0,1,1,1,1,1,1,1,1,1,1,0.026551,0.720322,0.790210
SO_LJF_BEST,Single-Objective,10,2,0,1,1,1,1,1,1,1,1,1,1,0.234100,0.272483,0.312000
SO_SJF_WORST,Single-Objective,10,2,0,1,1,1,1,1,1,1,1,1,1,0.060831,0.478889,0.636418
SO_SJF_BEST,Single-Objective,10,4,0,1,1,1,1,1,1,1,1,1,1,0.065472,0.253577,0.564361
Simulated Annealing,Grouped Single-Objective,20,3,2,2,2,2,2,2,2,2,2,2,2,0.275924,0.052698,0.440965
Classic GA,Grouped Single-Objective,20,3,1,2,2,2,2,2,2,2,2,2,2,0.251616,0.098950,0.363492
Island Model GA,Grouped Single-Objective,20,3,2,2,2,2,2,2,2,2,2,2,2,0.314729,0.049901,0.391416
Universal_Pareto_Set,Reference,38,38,38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.636577,0.000000,0.000000
