Algorithm,Type,Total_Solutions,Non_Dominated_Solutions,Universal_Pareto_Contribution,Seed_1200,Seed_1201,Seed_1202,Seed_1203,Seed_1204,Seed_1205,Seed_1206,Seed_1207,Seed_1208,Seed_1209,HV,GD,IGD
MOEA_AMOSA,Multi-Objective,159,14,0,13,18,13,13,19,16,21,19,12,15,0.438011,0.120331,0.163142
MOEA_NSGAII,Multi-Objective,253,26,0,30,39,26,16,25,21,21,26,21,28,0.434401,0.148917,0.175357
MOEA_SPEAII,Multi-Objective,262,24,23,27,40,23,27,18,26,29,19,20,33,0.498834,0.008066,0.077655
MOEA_eNSGAII,Multi-Objective,234,35,0,16,33,21,28,20,24,13,30,26,23,0.438844,0.157567,0.176256
SO_LJF_WORST,Single-Objective,10,6,0,1,1,1,1,1,1,1,1,1,1,0.077097,0.804873,0.772148
SO_LJF_BEST,Single-Objective,10,4,0,1,1,1,1,1,1,1,1,1,1,0.070319,0.562142,0.648025
SO_SJF_WORST,Single-Objective,10,4,0,1,1,1,1,1,1,1,1,1,1,0.027008,0.596169,0.775170
SO_SJF_BEST,Single-Objective,10,4,0,1,1,1,1,1,1,1,1,1,1,0.061375,0.325409,0.661396
Simulated Annealing,Grouped Single-Objective,20,4,4,2,2,2,2,2,2,2,2,2,2,0.112220,0.000000,0.488502
Classic GA,Grouped Single-Objective,20,7,0,2,2,2,2,2,2,2,2,2,2,0.183388,0.159965,0.424663
Island Model GA,Grouped Single-Objective,20,3,2,2,2,2,2,2,2,2,2,2,2,0.278322,0.023140,0.379751
Universal_Pareto_Set,Reference,29,29,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.568735,0.000000,0.000000
